1,,,
0,7,2,
1,8,3,
2,9,4,
3,10,5,
4,,,
7,,,
6,13,8,1
7,14,9,2
8,15,10,3
9,16,11,4
10,,,
13,,,
12,14,7,
13,15,20,8
14,16,21,9
15,17,22,10
16,,,
19,,,
18,20,,
19,26,21,14
20,27,22,15
21,16,23,
22,30,,
25,,,
24,26,,
25,20,27,
26,21,28,
27,29,,
28,,,
23,32,31,
30,,,
30,33,,
32,,,
